Brand,OS,Processor,RAM_Size,RAM_Type,Storage_Size,Storage_type,MRP
RedmiBook,Windows 11,Intel,8GB,DDR4,256GB,SSD,31990.0
acer,Windows 11,AMD,16GB,DDR4,512GB,SSD,66990.0
DELL,Windows 11,AMD,16GB,DDR4,512GB,SSD,89081.0
Lenovo,Windows 11,Intel,8GB,DDR4,256GB,SSD,36990.0
APPLE,Mac ,M1,8GB,DDR4,512GB,SSD,104990.0
Lenovo,Windows 11,Intel,8GB,DDR4,512GB,SSD,53490.0
ASUS,Windows 11,Intel,8GB,LPDDR4X,256GB,SSD,45990.0
Lenovo,Windows 11,Intel,8GB,DDR4,512GB,SSD,39990.0
ASUS,Windows 11,Intel,8GB,DDR4,512GB,SSD,45990.0
MSI,Windows 11,Intel,8GB,DDR4,512GB,SSD,51990.0
HP,Windows 11,AMD,16GB,DDR4,512GB,SSD,75990.0
RedmiBook,Windows 11,Intel,8GB,DDR4,512GB,SSD,39990.0
Lenovo,Windows 11,Intel,8GB,DDR4,256GB,SSD,36990.0
HP,Windows 11,Intel,16GB,DDR4,512GB,SSD,78800.0
HP,Windows 11,AMD,8GB,DDR4,512GB,SSD,29390.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,38705.0
Infinix,Windows 11,Intel,8GB,LPDDR4X,256GB,SSD,30990.0
Lenovo,Windows 11,Intel,16GB,DDR4,512GB,SSD,62490.0
ASUS,Windows 11,Intel,16GB,DDR4,512GB,SSD,89990.0
ASUS,Windows 11,AMD,16GB,DDR5,1TB,SSD,196990.0
HP,Windows 11,Intel,8GB,DDR4,512GB,SSD,58899.0
MSI,Windows 11,Intel,16GB,DDR4,512GB,SSD,85990.0
DELL,Windows 11,AMD,8GB,DDR4,1TB,HDD,33099.0
ASUS,Windows 11,AMD,16GB,DDR4,1TB,SSD,85990.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,73490.0
Lenovo,Windows 11,Intel,8GB,DDR4,1TB,HDD,63490.0
Lenovo,Windows 11,Intel,8GB,DDR4,256GB,SSD,36990.0
Lenovo,Windows 11,Intel,8GB,DDR4,512GB,SSD,39990.0
ASUS,Windows 11,AMD,8GB,DDR4,512GB,SSD,38990.0
HP,Windows 11,Intel,8GB,DDR4,512GB,SSD,67990.0
RedmiBook,Windows 11,Intel,8GB,DDR4,512GB,SSD,39990.0
ASUS,Windows 11,AMD,16GB,DDR5,1TB,SSD,196990.0
HP,Windows 11,Intel,8GB,DDR4,512GB,SSD,39790.0
APPLE,Mac ,M1,16GB,Unified,1TB,SSD,241990.0
APPLE,Mac ,M1,8GB,DDR4,512GB,SSD,104990.0
DELL,Windows 11,AMD,8GB,DDR4,512GB,SSD,42190.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,38705.0
ASUS,Windows 11,AMD,16GB,DDR4,1TB,SSD,85990.0
ASUS,Windows 11,Intel,8GB,DDR4,512GB,SSD,39990.0
ASUS,Windows 11,Intel,16GB,DDR5,1TB,SSD,99990.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,35590.0
ASUS,Windows 11,AMD,16GB,DDR4,1TB,SSD,150990.0
APPLE,Mac ,M1,32GB,Unified,1TB,SSD,309490.0
ASUS,Windows 11,Intel,16GB,DDR4,1TB,HDD,64990.0
ASUS,Windows 11,AMD,16GB,DDR4,512GB,SSD,89990.0
ASUS,Windows 10,AMD,16GB,DDR4,512GB,SSD,85990.0
ASUS,Windows 11,AMD,16GB,DDR5,1TB,SSD,194990.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,44990.0
APPLE,Mac ,M1,16GB,Unified,1TB,SSD,222990.0
Ultimus,DOS ,Intel,4GB,LPDDR4,128GB,SSD,15990.0
Lenovo,Windows 11,Intel,8GB,DDR4,256GB,SSD,36990.0
Lenovo,Windows 11,Intel,8GB,DDR4,512GB,SSD,39990.0
DELL,Windows 11,Intel,8GB,DDR4,1TB,HDD,45900.0
ASUS,Windows 11,Intel,16GB,LPDDR4X,512GB,SSD,79990.0
ASUS,Windows 11,Intel,8GB,DDR4,512GB,SSD,56990.0
DELL,Windows 11,AMD,8GB,DDR4,256GB,SSD,34990.0
RedmiBook,Windows 11,Intel,8GB,DDR4,512GB,SSD,39990.0
ASUS,Windows 11,AMD,16GB,DDR5,1TB,SSD,196990.0
DELL,Windows 11,Intel,8GB,DDR4,512GB,SSD,43580.0
Lenovo,Windows 10,AMD,16GB,DDR4,512GB,SSD,74990.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,38705.0
ASUS,Windows 11,AMD,16GB,DDR4,1TB,SSD,85990.0
Lenovo,Windows 10,Intel,8GB,DDR4,512GB,SSD,37490.0
Infinix,Windows 11,Intel,4GB,LPDDR4X,128GB,SSD,20990.0
MSI,Windows 11,Intel,16GB,DDR4,512GB,SSD,109990.0
ASUS,Windows 11,Intel,16GB,LPDDR4,512GB,SSD,71990.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,35590.0
ASUS,Windows 11,AMD,16GB,DDR4,1TB,SSD,150990.0
Infinix,Windows 11,Intel,8GB,LPDDR4X,512GB,SSD,32990.0
MSI,Windows 10,AMD,8GB,DDR4,512GB,SSD,43990.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,73490.0
ASUS,Windows 11,AMD,16GB,DDR5,1TB,SSD,194990.0
acer,Windows 11,AMD,8GB,DDR4,256GB,SSD,25990.0
ASUS,Windows 10,Intel,16GB,DDR4,1TB,SSD,122990.0
acer,Windows 11,Intel,16GB,DDR4,512GB,SSD,68990.0
acer,Windows 11,Intel,8GB,DDR4,512GB,SSD,59990.0
Lenovo,Windows 11,Intel,8GB,DDR4,256GB,SSD,36990.0
Lenovo,Windows 11,Intel,8GB,DDR4,512GB,SSD,39990.0
acer,Windows 10,AMD,8GB,DDR4,512GB,SSD,39990.0
ASUS,Windows 10,Intel,8GB,DDR4,1TB,HDD,37990.0
RedmiBook,Windows 11,Intel,8GB,DDR4,512GB,SSD,39990.0
ASUS,Windows 11,AMD,16GB,DDR5,1TB,SSD,196990.0
Lenovo,Windows 10,Intel,4GB,DDR4,256GB,SSD,25950.0
realme,Windows 11,Intel,16GB,LPDDR4X,512GB,SSD,64999.0
HP,Windows 11,AMD,8GB,DDR4,512GB,SSD,60990.0
ASUS,Windows 11,Intel,8GB,DDR4,512GB,SSD,36990.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,38705.0
ASUS,Windows 11,AMD,16GB,DDR4,1TB,SSD,85990.0
SAMSUNG,Windows 11,Intel,8GB,LPDDR4X,256GB,SSD,59990.0
APPLE,Mac ,M1,16GB,Unified,512GB,SSD,222990.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,35590.0
ASUS,Windows 11,AMD,16GB,DDR4,1TB,SSD,150990.0
DELL,Windows 11,Intel,16GB,DDR5,1TB,SSD,235283.0
DELL,Windows 11,Intel,8GB,DDR4,512GB,SSD,38990.0
ASUS,Windows 11,AMD,16GB,DDR4,512GB,SSD,67990.0
MSI,Windows 11,Intel,16GB,DDR4,512GB,SSD,79990.0
Lenovo,Windows 11,Intel,8GB,DDR4,256GB,SSD,36990.0
RedmiBook,Windows 11,Intel,8GB,DDR4,512GB,SSD,39990.0
ASUS,Windows 11,AMD,16GB,DDR4,512GB,SSD,67990.0
MSI,Windows 11,Intel,16GB,DDR4,512GB,SSD,79990.0
ASUS,Windows 11,AMD,16GB,DDR5,1TB,SSD,196990.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,38705.0
ASUS,Windows 11,Intel,16GB,LPDDR5,512GB,SSD,89990.0
ASUS,Windows 11,Intel,32GB,DDR5,1TB,SSD,241990.0
ASUS,Windows 11,Intel,8GB,DDR4,512GB,SSD,43490.0
realme,Windows 10,Intel,8GB,DDR4,256GB,SSD,46990.0
ASUS,Windows 11,AMD,16GB,DDR4,1TB,SSD,85990.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,35590.0
Vaio,Windows 10,AMD,8GB,DDR4,512GB,SSD,40990.0
APPLE,Mac ,M1,8GB,DDR4,256GB,SSD,94990.0
ASUS,Windows 11,AMD,16GB,DDR4,1TB,SSD,150990.0
Lenovo,Windows 11,Intel,8GB,DDR4,512GB,SSD,39990.0
MSI,Windows 10,Intel,16GB,DDR4,1TB,SSD,114990.0
